username,likes,comments,text,hashtags,date,day_of_week,hour,word_count,hashtag_count
editorarocco,4549,697,"baita desafio, né? como descrever em uma só palavra esse aniversariante tão importante? todo fã da saga harry potter é apaixonado por esse amigo sem defeitos… feliz aniversário para ele! ❤️🎂",ronyweasley harrypotter editorarocco,2024-03-01,Friday,16,34,3
editorarocco,1327,73,"o escritório da rocco fica no rio de janeiro, é claro que nós homenagearíamos a cidade maravilhosa nos seus 459 anos.",editorarocco rio    aniversariorj,2024-03-01,Friday,12,24,3
editorarocco,3059,115,"você está pronto para investigar a morte de amélia moura? 🌧️ após uma tempestade, o corpo de uma jovem é encontrado com marcas de estrangulamento em uma região afastada de curitiba, em meio às araucárias. 🔎 com a atenção da mídia e da sociedade se voltando para o caso, a delegada ana cervinski e o policial júlio bragatti estão determinados a descobrir o que aconteceu. aos olhos de todos, amélia moura era uma boa menina ― filha de um importante deputado, primogênita de uma família tradicional e noiva de um empresário. mas, quando as imagens de uma câmera de segurança revelam que ela recebia visitas secretas de uma desconhecida em casa, fica claro que amélia guardava segredos. 👀 aos poucos, ana cervinski e júlio bragatti vão descobrir como uma teia de crimes e a hipocrisia de uma sociedade intolerante estão conectadas. 📖 “boas meninas se afogam em silêncio” é uma reflexão sobre as contradições mais profundas da sociedade, com um mistério que sustenta o fôlego até o final. garanta o seu agora na pré-venda!",romancepolicial editorarocco,2024-02-29,Thursday,21,176,2
editorarocco,393,31,"essa é a hélia, ela é nossa leitora e escolheu filhos de sangue e osso para ser o tema dela de mestrado. nesse post ela vai nos contar o porquê dessa escolha e um pouquinho sobre o seu projeto! confira!",filhosdesangue tesedemestrado livros literatura,2024-02-29,Thursday,17,44,4
editorarocco,1453,84,"estamos muito felizes em anunciar que a lis vilas boas é a nossa nova autora! e vem aí um livro maravilhoso! diana é uma bruxa que quer matar os irmãos para herdar a fortuna da família. para isso, terá a ajuda de um lobisomem mafioso que está disposto a tudo para ajudar sua matilha. o título a gente vai revelar em breve! fiquem ligados! bem-vinda, lis <3",livros editorarocco literatura,2024-02-29,Thursday,12,70,3
editorarocco,5709,83,"g.h. era uma mulher que vivia bem, vivia bem, vivia bem. vivia na supercamada das areias do mundo. g.h. vivia no último andar de uma superestrutura, e, mesmo construído no ar, era um edifício sólido. e isto havia séculos vinha acontecendo. e dava certo. ninguém disse que não; era certo. assista ao teaser e conheça mais sobre a história a partir da obra de clarice lispector, dirigida por luiz fernando carvalho e protagonizada por maria fernanda cândido. estreia dia 11 de abril, exclusivamente nos cinemas. 🎥",apaixaosegundoghofilme livros filmes estreia claricelispector cinema,2024-02-28,Wednesday,19,92,6
editorarocco,4469,149,"vem aí! para milhões de leitores em todo o mundo, hogwarts é um lugar mágico, e no dia 15 de outubro chegará às livrarias em lançamento mundial ""natal em hogwarts"", um livro alegremente ilustrado que certamente encantará leitores de todas as idades, celebrando o primeiro natal de harry potter no mundo mágico. com texto da passagem de natal de harry potter e a pedra filosofal. as ilustrações são de ziyi gao, tem 48 páginas encantadoras e capa dura!",harrypotter livros lançamentomundial parasemprehps,2024-02-28,Wednesday,14,82,4
editorarocco,299,8,"pré-venda liberada! em 2024 completamos 60 anos do golpe que implantou no brasil uma ditadura militar, que durou 21 anos. não foi diferente com outros países da américa latina, que nos anos posteriores a 1964, também submergiram em períodos sombrios de castração da liberdade. esses episódios deram origem ao ensaio de eduardo galeano, as veias abertas da américa latina, expandindo o olhar de outros autores sobre esse território marcado por cicatrizes profundas e que luta constantemente pela manutenção de suas democracias. com um olhar sensível e muitos anos de viagens e estudo sobre a cultura latino-americana, bruna ramos da fonte nos oferece outra visão sobre esse subcontinente, tão rico quanto conturbado, em uma autobiografia musical. ""um manifesto de alguém que acredita na arte e na cultura como as grandes ferramentas da revolução"", em suas próprias palavras. garanta já o seu! link nos stories!",livro lançamento apenasumamulherlatinoamericana prevenda,2024-02-27,Tuesday,22,147,4
editorarocco,301,6,"separamos aqui algumas dicas para quem quer ler mais esse ano! esses passos podem te ajudar a criar uma rotina. se você tiver mais alguma dica, deixa aqui nos comentários para ajudar outras pessoas! <3",leitura dicas livros editorarocco,2024-02-27,Tuesday,12,39,4
editorarocco,658,21,"intestino enfezado não, saúde intestinal sim! 💩😄 👀 o intestino enfezado é aquele com fezes retidas, com permeabilidade nas paredes, com disbiose ― que é o desequilíbrio das bactérias do intestino ―, com inflamação e assim por diante. para entender esses processos, cientistas do mundo inteiro seguem investigando e publicando estudos em busca da solução. 📖 neste livro, a psicóloga e nutricionista (psiconutri) thaís araújo reúne todo esse conhecimento científico de forma descontraída, junto à sua experiência clínica com mais de dez mil pacientes curados, e o torna acessível, sem delongas, demonstrando que todos podem ter um intestino que funciona por meio do consumo de alimentos combinados diariamente de forma prática. uma leitura indispensável para quem quer ter saúde intestinal com base em evidências científicas e com a orientação da maior autoridade em intestino do brasil. ✳️ thais araújo é nutricionista e psicóloga com mais de 20 anos de experiência clínica. criadora do método intestino livre, já ajudou mais de 10 mil pessoas a alcançarem um intestino que funciona, deixando de ser enfezadas. pré-venda liberada! link no stories e nos destaques.",enfezadonuncamais saudeintestinal editorarocco,2024-02-26,Monday,20,184,3
